id_entrega,id_pedido,data_entrega,status_entrega,endereco_entrega
1,351,2023-09-17,Cancelado,"4425 Keith Plains Suite 753
South Natasha, LA 29230"
2,105,2023-11-04,Cancelado,"708 Shields Hollow Suite 276
Mccormickborough, HI 21257"
3,1996,2023-08-20,Em trânsito,"17967 Nguyen Place
Kaiserside, IL 62126"
4,2472,2022-10-22,Entregue,"PSC 8267, Box 0882
APO AA 63942"
5,8796,2022-03-07,Cancelado,"593 Wesley Overpass Suite 325
Gordonburgh, WA 77354"
6,2750,2022-05-04,Cancelado,"84666 Aaron Garden
East Samantha, ID 41431"
7,6687,2024-11-02,Entregue,"PSC 1182, Box 5308
APO AP 43135"
8,4205,2022-07-02,Em trânsito,"7056 Matthew Lake
Bryantberg, MO 33412"
9,5303,2024-10-26,Em trânsito,"PSC 5305, Box 0411
APO AP 72140"
10,812,2024-09-22,Em trânsito,"03160 Travis Spur Suite 700
Lake Jeremy, WV 45767"
11,8880,2022-03-05,Em trânsito,"47900 Antonio Cliffs Suite 047
Maryside, DE 96617"
12,2685,2022-02-11,Em trânsito,"5040 Hendricks Rapids Suite 283
Cynthiahaven, FM 46252"
13,7457,2023-11-12,Em trânsito,"9593 Rhonda Greens Apt. 478
Hughesshire, WY 54218"
14,1507,2023-09-25,Cancelado,"3222 Allen Trafficway Apt. 990
Wigginsburgh, NH 32847"
15,9421,2022-03-30,Entregue,"29789 Mendez Motorway
East Kimberly, NM 32688"
16,9830,2023-02-12,Em trânsito,"747 Johnson Throughway Suite 001
West Carrieborough, NE 37041"
17,4982,2023-09-11,Cancelado,"34848 Justin Street Apt. 920
Hardybury, KS 42227"
18,9974,2024-11-27,Entregue,"33758 Osborn Shoal
Lake Johnhaven, AL 81047"
19,6680,2024-07-11,Cancelado,"0292 Thompson Center Suite 435
Drakeshire, AK 85552"
20,371,2022-12-20,Em trânsito,"PSC 6102, Box 0344
APO AE 80987"
21,5362,2021-12-26,Entregue,"23324 Stacey Plains Suite 367
East Ronaldchester, ME 45309"
22,2183,2022-04-13,Entregue,"PSC 9233, Box 8335
APO AP 67296"
23,1396,2023-01-25,Cancelado,"8229 Hardy Walk
South Valerie, AS 86939"
24,3912,2022-08-26,Entregue,"92182 Lori Light Apt. 984
Anthonyport, CT 50726"
25,9791,2022-05-12,Entregue,"660 Arellano Ranch Apt. 471
Port Cassandraville, HI 56360"
26,579,2024-11-10,Em trânsito,"53905 Avila Locks Suite 355
Port Peter, NE 32023"
27,3540,2022-05-01,Entregue,"677 Jessica Gateway Suite 878
Bradleymouth, SC 84483"
28,4493,2022-10-11,Em trânsito,"PSC 1208, Box 9935
APO AA 44475"
29,6946,2023-03-09,Em trânsito,"6173 Ayala Oval
Stevefort, SD 79216"
30,198,2024-01-29,Cancelado,"57875 Chung Hollow Suite 562
North Tonya, MP 50073"
31,3729,2023-08-17,Em trânsito,"85587 Garcia Roads Apt. 665
North Mikayla, KS 83201"
32,6416,2023-10-23,Cancelado,"93720 Samuel Ports
Josephburgh, AS 86989"
33,8782,2022-01-01,Cancelado,"Unit 8806 Box 1288
DPO AP 30633"
34,6586,2022-04-07,Entregue,"7876 Debra Lock Apt. 548
North Jeremy, UT 04690"
35,5802,2023-06-22,Cancelado,"5340 Smith Neck Apt. 650
New Anthony, CO 17835"
36,75,2024-02-26,Em trânsito,"143 Michael Brook Apt. 417
Codystad, MN 35008"
37,9862,2024-11-14,Cancelado,"49312 Raymond Points
East Elizabeth, NE 96576"
38,2013,2024-02-20,Cancelado,"878 Rivera Mountain Apt. 263
Millerside, TN 10897"
39,5191,2024-05-25,Entregue,"014 Diana Greens
New Stanleyside, MI 99758"
40,6168,2022-07-13,Cancelado,"Unit 3101 Box 4471
DPO AP 04774"
41,4266,2022-03-02,Em trânsito,"2245 Aaron Landing Suite 289
Nathanielburgh, UT 92450"
42,7323,2022-06-03,Cancelado,"USNV Jones
FPO AA 16207"
43,2245,2023-10-28,Cancelado,"306 Vasquez Crossroad Suite 579
South Shannon, RI 74449"
44,5656,2024-06-13,Entregue,"569 Donna Forest Suite 682
North Maryton, ND 85324"
45,396,2022-02-05,Em trânsito,"USNS Edwards
FPO AE 68755"
46,1797,2024-03-18,Entregue,"USNS Boyd
FPO AP 72711"
47,1531,2023-07-16,Cancelado,"913 Lisa Heights Apt. 648
West Crystal, FM 19010"
48,8422,2024-09-17,Cancelado,"52496 Fuller Key Suite 969
Edwardshire, AZ 72746"
49,8292,2022-07-13,Cancelado,"040 Garcia Club Suite 110
Ramirezton, WI 60967"
50,4779,2022-07-26,Entregue,"858 Eugene Garden Apt. 892
Kellyberg, FM 30082"
51,755,2022-12-21,Entregue,"7096 Stephanie Haven
Smithstad, TN 58068"
52,9748,2021-12-04,Entregue,"2029 Michael Islands Suite 113
West Jessica, GU 73403"
53,8358,2024-11-26,Em trânsito,"0161 Carlos Course
Taylorburgh, MS 12302"
54,202,2023-12-29,Entregue,"9387 John Island
Petersfurt, ID 09954"
55,2317,2023-07-27,Em trânsito,"4865 Donald Spring Apt. 797
Tammyfurt, OK 85803"
56,449,2024-11-28,Entregue,"759 Edwards Knolls
Jimenezbury, PW 61075"
57,6946,2022-03-27,Entregue,"03051 Davidson Locks Suite 226
Drewstad, NE 08760"
58,9583,2023-12-16,Entregue,"0139 Heather Point
Lake Michael, NE 95604"
59,6082,2022-04-07,Cancelado,"86154 Michael Roads Apt. 257
Cynthiafort, CO 05264"
60,3864,2023-03-08,Cancelado,"018 Williams Creek Apt. 541
Simshaven, ID 54756"
61,6025,2023-11-14,Entregue,"8765 Eugene Expressway Suite 446
Morganmouth, SC 27355"
62,6985,2024-02-10,Entregue,"2494 Matthew Field
Patrickberg, RI 71342"
63,8566,2024-03-02,Em trânsito,"1624 Joseph Mill
Carlosborough, VT 35719"
64,9172,2024-01-17,Em trânsito,"54550 Patel Cliffs Apt. 594
Haileyville, VI 52486"
65,7197,2024-01-07,Cancelado,"956 Sheppard Mills Apt. 024
Barrettchester, MN 20106"
66,2010,2024-01-19,Entregue,"PSC 9060, Box 4379
APO AE 57979"
67,3079,2022-05-27,Entregue,"Unit 5861 Box 0154
DPO AA 08130"
68,6656,2024-03-14,Cancelado,"012 Adams Prairie
Chapmanburgh, GA 98093"
69,2612,2023-07-10,Em trânsito,"2396 Elizabeth Estates
South Richard, ND 15989"
70,6578,2024-07-21,Cancelado,"PSC 4573, Box 8267
APO AA 68653"
71,7129,2024-09-07,Cancelado,"PSC 6046, Box 7257
APO AA 08669"
72,613,2024-07-07,Cancelado,"6339 Reeves Passage Apt. 627
Grahamtown, NY 31754"
73,7152,2022-10-16,Entregue,"96025 Samuel Crossroad
North Ronald, VT 64738"
74,788,2024-09-21,Entregue,"USS Gallegos
FPO AA 60800"
75,6491,2023-02-10,Cancelado,"705 Lee Light
Port Amy, NM 95999"
76,6146,2022-07-31,Entregue,"97630 Toni Island
South Hannah, LA 38197"
77,349,2022-06-10,Entregue,"948 Peter Falls
New Julietown, VA 94544"
78,4570,2024-03-05,Em trânsito,"8303 Dawn Cove
West Stacey, GA 66669"
79,9469,2024-05-02,Cancelado,"Unit 8995 Box 6678
DPO AE 17251"
80,6737,2022-05-17,Cancelado,"16353 Clark Meadows Apt. 086
Herbertfort, NM 65142"
81,303,2024-01-21,Entregue,"960 Lynch Mews
Seanshire, WA 27881"
82,3082,2023-08-09,Entregue,"366 Austin Lock Apt. 785
Danielmouth, IL 59848"
83,5508,2024-10-25,Cancelado,"947 Gray Ridge Apt. 268
Ericview, RI 55657"
84,9181,2022-11-04,Em trânsito,"449 Vasquez Point Suite 216
Jacksonhaven, MS 83287"
85,7317,2023-04-21,Cancelado,"4833 Rebecca Extension
Hernandezburgh, CT 47613"
86,9584,2024-07-11,Cancelado,"3136 Rice Villages
Riveraborough, IA 69710"
87,4332,2024-07-22,Em trânsito,"655 Michael Lights Apt. 935
Port Jessicachester, SC 51984"
88,566,2023-04-20,Em trânsito,"24646 Parker Viaduct Suite 120
Parkberg, OR 40338"
89,2800,2024-10-16,Em trânsito,"59678 Brian Radial
Mcdanielborough, WI 04177"
90,5021,2024-06-07,Entregue,"5200 Ingram Port
New Dylanland, OK 59426"
91,5337,2024-05-05,Entregue,"97313 Gregory Falls
Port Stacey, PA 44646"
92,5801,2024-02-07,Cancelado,"796 Perez Freeway Suite 711
West Jamieberg, VI 95945"
93,8614,2024-03-19,Em trânsito,"5490 Michael Terrace
East Toniland, NH 74642"
94,287,2023-08-25,Em trânsito,"54059 Leach Camp Apt. 006
South Robert, MT 67837"
95,817,2023-10-09,Cancelado,"3006 Justin Prairie
Poolehaven, UT 06287"
96,149,2024-11-08,Cancelado,"3523 Chad Canyon
Port Joshuahaven, MP 93706"
97,2971,2023-08-11,Cancelado,"29367 Andrew Ranch
Port Michael, SC 38780"
98,2322,2022-12-14,Cancelado,"00931 Guerra Street
Tamaraberg, GA 56754"
99,3241,2024-08-02,Em trânsito,"2391 Philip Prairie Suite 250
East Nicoleton, OH 22958"
100,2273,2023-02-20,Entregue,"785 Gay Meadows
Perezland, PA 85899"
101,6732,2023-04-28,Cancelado,"3062 Alicia Unions Apt. 803
New Sarah, NV 04762"
102,7278,2022-08-07,Entregue,"51165 Morgan Tunnel Suite 377
Tylerstad, AR 11024"
103,5293,2022-08-10,Em trânsito,"58933 Hill Courts
New Clifford, MI 92758"
104,8587,2022-12-17,Cancelado,"5826 Tara Mission
South Brianview, CT 22449"
105,1583,2024-03-13,Cancelado,"211 Erin Underpass Apt. 369
North Jennifermouth, MO 17209"
